,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle,Layer At Peak Value_1-28,Layer At Peak Value_29-40,Energy At Peak Value_1-28,Energy At Peak Value_28_40
0,77.6675,259.46,792.902,1239.53,1980.1,2386.75,3089.27,2696.6,3145.13,2149.21,2122.46,1640.12,1594.44,1199.02,899.032,645.307,531.483,319.527,343.319,196.174,136.854,110.178,74.7163,56.3318,26.6455,13.3352,15.4809,27.1182,13.3566,2.01481,1.85897,4.43253,13.7555,9.54401,11.2069,7.76882,4.04211,1.02878,0.0,1.44385,300,ele,9,5,3145.13,13.7555
1,38.4292,104.51,371.662,603.231,1079.27,1288.22,1780.75,2124.15,2654.14,2243.69,2428.68,2249.54,2235.57,1527.34,1559.15,1108.64,1001.2,675.85,714.376,409.836,321.617,243.131,211.775,77.3262,81.7817,77.3131,66.8597,43.0466,29.953,3.2799,1.82214,4.61008,11.7267,5.71907,6.14952,3.77939,9.0773,1.57805,0.0,0.673109,300,ele,9,1,2654.14,29.953
2,45.8791,84.9575,234.062,326.84,747.987,1189.42,1276.22,1621.18,2513.58,2167.4,2637.43,2259.78,2393.71,1893.85,2074.01,1343.11,1120.18,696.171,790.08,605.737,484.053,290.263,253.376,190.361,199.027,71.3056,37.7321,22.9204,26.0762,6.15758,1.52467,1.45063,12.9033,6.34586,10.0223,5.76236,3.23882,1.32135,0.0,0.0,300,ele,11,1,2637.43,26.0762
3,430.591,361.491,838.596,1177.32,1897.69,2585.08,2679.29,2515.59,2648.98,2107.16,1984.12,1592.38,1241.23,1061.14,993.152,701.415,732.035,393.688,503.285,426.884,281.801,193.822,159.202,107.603,105.204,41.6143,40.9243,29.5865,9.0339,16.2764,2.47476,1.81827,6.56424,2.21363,12.7425,5.27991,5.1892,0.0,0.0,0.0,300,ele,7,2,2679.29,16.2764
4,161.459,32.5237,215.439,474.614,1038.74,1268.18,1672.78,1824.65,2239.28,1999.55,2486.37,2034.54,2413.83,1634.74,1723.54,1111.23,1308.79,866.521,854.437,537.102,418.939,287.974,183.853,132.893,107.66,95.8021,88.9825,43.1678,24.1294,9.22411,2.20011,0.0,10.6238,6.0649,13.9418,7.57974,3.18496,0.0,0.0,0.0,300,ele,11,1,2486.37,24.1294
5,318.728,84.6314,222.405,313.152,487.78,734.397,977.623,1137.04,1474.78,1326.08,1553.27,1557.28,1794.67,1694.34,2222.45,1579.68,1753.41,1416.78,1548.4,1184.17,979.194,623.501,511.199,414.239,337.527,233.488,187.671,116.475,71.838,28.8919,3.96621,5.46413,12.9344,7.95842,9.60283,9.96714,1.86001,1.00652,0.0,0.520432,300,ele,15,1,2222.45,71.838
6,298.813,247.865,511.945,884.903,1632.22,1990.58,2204.45,2345.99,2702.65,2053.96,2314.12,1847.81,1745.63,1402.55,1384.23,995.766,967.775,707.443,528.313,360.927,246.878,214.091,135.367,101.899,124.705,73.9218,65.3969,29.4818,8.8977,6.73658,2.17086,0.0,3.59566,5.49521,8.9267,3.43659,33.4082,0.0,0.0,0.0,300,ele,9,9,2702.65,33.4082
7,46.9774,132.96,556.728,776.319,1355.87,1786.74,2133.77,2376.53,2947.38,2387.43,2776.2,2121.72,2070.47,1450.68,1372.67,883.859,873.664,613.922,614.224,305.411,267.761,209.774,108.909,68.3595,57.0137,47.0707,64.4051,49.1974,12.7904,7.33267,1.73888,1.4598,4.04166,8.07791,6.05708,4.41894,5.79494,0.0,0.0,0.0,300,ele,9,1,2947.38,12.7904
8,91.9211,301.557,706.618,956.035,1491.29,1563.23,2004.71,1776.57,2398.68,1967.77,2016.92,1929.45,1751.5,1436.97,1482.3,864.857,843.269,831.319,704.656,492.017,397.603,243.663,199.336,143.439,143.641,130.761,55.5735,50.6808,16.988,17.1746,2.22545,0.800009,3.38001,4.31954,11.2492,10.3749,4.23444,0.0,0.0,0.0,300,ele,9,2,2398.68,17.1746
9,228.778,272.518,790.767,1017.72,1673.82,2275.73,2516.51,2658.32,3031.51,2210.13,2257.99,1860.98,1684.84,1143.53,1094.75,732.253,644.979,426.618,418.203,277.197,167.842,137.404,97.0786,60.8397,69.077,41.2672,24.4584,14.0317,10.773,1.91579,2.28011,4.26762,13.3967,6.37129,9.85732,6.67098,43.803,0.971008,0.0,0.0,300,ele,9,9,3031.51,43.803
10,270.655,66.6239,132.222,264.145,737.777,1099.92,1383.49,1640.39,2414.3,1935.81,2543.18,2452.01,2625.42,2123.97,1856.72,1453.78,1362.93,910.683,880.797,519.657,410.968,272.058,264.492,136.427,114.477,35.9981,36.7914,33.4802,29.1302,12.5701,2.02749,1.58294,6.22802,11.335,8.47697,3.47913,4.74232,0.0,0.0,0.0,300,ele,13,1,2625.42,29.1302
