Layer,Energy,BeamEnergy,Particle
0,0,300,ele
1,77.6675,300,ele
2,259.46,300,ele
3,792.902,300,ele
4,1239.53,300,ele
5,1980.1,300,ele
6,2386.75,300,ele
7,3089.27,300,ele
8,2696.6,300,ele
9,3145.13,300,ele
10,2149.21,300,ele
11,2122.46,300,ele
12,1640.12,300,ele
13,1594.44,300,ele
14,1199.02,300,ele
15,899.032,300,ele
16,645.307,300,ele
17,531.483,300,ele
18,319.527,300,ele
19,343.319,300,ele
20,196.174,300,ele
21,136.854,300,ele
22,110.178,300,ele
23,74.7163,300,ele
24,56.3318,300,ele
25,26.6455,300,ele
26,13.3352,300,ele
27,15.4809,300,ele
28,27.1182,300,ele
29,13.3566,300,ele
30,2.01481,300,ele
31,1.85897,300,ele
32,4.43253,300,ele
33,13.7555,300,ele
34,9.54401,300,ele
35,11.2069,300,ele
36,7.76882,300,ele
37,4.04211,300,ele
38,1.02878,300,ele
39,0,300,ele
