Layer;Energy;BeamEnergy;Particle
0;0;20;pion
1;0.525361;20;pion
2;12.3632;20;pion
3;7.22779;20;pion
4;17.0184;20;pion
5;28.1419;20;pion
6;75.1161;20;pion
7;74.297;20;pion
8;108.64;20;pion
9;110.129;20;pion
10;94.4958;20;pion
11;92.3455;20;pion
12;85.6763;20;pion
13;51.8042;20;pion
14;38.5815;20;pion
15;44.5409;20;pion
16;37.0403;20;pion
17;28.7544;20;pion
18;31.6554;20;pion
19;53.8845;20;pion
20;30.3738;20;pion
21;9.33139;20;pion
22;7.40002;20;pion
23;10.6283;20;pion
24;11.2285;20;pion
25;6.5148;20;pion
26;18.7196;20;pion
27;4.51094;20;pion
28;3.25427;20;pion
29;15.9559;20;pion
30;16.8873;20;pion
31;16.3115;20;pion
32;23.3448;20;pion
33;13.4116;20;pion
34;6.1422;20;pion
35;8.96521;20;pion
36;3.33454;20;pion
37;4.52504;20;pion
38;1.08577;20;pion
39;0;20;pion
