 ,Layer,Module,Chip,Channel,Energy
0,1,78,2,30,3.78217
1,2,90,2,30,8.22172
2,3,89,2,30,2.06115
3,3,89,2,34,0.923569
4,3,89,0,44,0.518207
5,3,89,3,36,0.997169
6,3,89,2,24,1.32829
7,4,88,2,30,5.37303
8,5,77,2,30,6.8888
9,5,77,2,34,2.49405
10,5,77,2,40,6.74368
11,5,77,1,36,4.47868
12,5,77,2,0,0.876415
13,5,77,2,24,2.48112
14,6,85,2,30,10.0237
15,6,85,2,32,1.30728
16,7,84,2,30,1.44787
17,7,84,2,32,1.42714
18,7,84,3,28,0.44585
19,7,84,0,44,0.397869
20,8,32,2,30,0.855584
21,8,32,2,34,5.21005
22,9,69,2,30,0.915434
23,10,79,2,30,1.28779
24,11,76,2,30,0.799377
25,11,76,0,44,1.07639
26,12,83,2,30,1.42228
27,13,70,2,30,1.31392
28,14,73,2,30,2.67398
29,14,73,2,0,1.01111
30,14,73,1,10,2.35994
31,15,86,2,30,0.703735
32,16,87,2,30,0.855932
33,17,82,2,30,1.04278
34,18,72,2,30,1.21504
35,19,67,2,30,0.84283
36,20,65,2,30,1.13301
37,21,35,2,30,0.898311
38,21,35,0,44,0.84764
39,22,36,2,30,1.12719
40,23,44,2,30,3.90556
41,24,51,2,30,1.38879
42,26,143,2,30,0.794493
43,27,145,2,30,1.08642
44,27,145,1,54,0.503147
45,27,145,1,28,0.555258
46,27,145,1,2,0.423443
47,27,145,0,32,0.623156
48,27,145,2,0,0.575446
49,28,144,2,30,1.20109
50,28,144,3,42,0.687611
51,28,144,1,48,0.39838
52,28,144,0,54,0.645682
53,29,105,0,44,1.1054
54,29,96,0,26,1.14367
55,30,100,3,28,0.715819
56,30,106,0,26,1.24951
57,31,94,3,36,0.680949
58,31,94,0,26,1.03639
59,32,109,3,28,1.12462
60,32,102,0,26,0.734594
61,33,139,0,22,0.675397
62,33,139,0,44,1.38996
63,33,137,0,44,4.2207
64,33,137,3,28,1.44075
65,33,147,0,44,1.08294
66,33,147,3,28,0.703807
67,33,147,1,26,0.456724
68,33,137,3,20,0.316067
69,33,139,0,26,0.881595
70,34,134,0,44,0.900664
71,34,133,0,44,1.73389
72,34,130,0,0,0.556871
73,34,146,0,22,0.681524
74,34,131,0,26,1.27569
75,35,119,3,30,0.682986
76,35,127,3,28,0.818223
77,35,128,0,44,1.06888
78,35,125,0,44,6.50131
79,35,125,3,28,2.29213
80,35,135,3,28,0.698907
81,35,126,3,28,0.513891
82,35,126,0,44,0.512125
83,36,45,0,26,1.10058
84,36,45,0,30,1.00412
85,36,45,3,30,2.03905
86,36,45,3,32,2.32437
87,36,45,0,44,0.653723
88,36,45,3,54,1.10591
89,36,38,0,8,0.894046
90,36,39,0,44,1.09691
91,36,48,3,22,0.445185
92,36,48,0,44,1.10389
93,36,46,0,44,0.861467
94,36,46,0,34,0.452359
95,36,45,3,12,0.615049
96,37,59,0,26,5.77363
97,37,59,3,30,1.19909
98,37,59,3,32,2.4646
99,37,59,3,54,1.35675
100,37,59,3,22,0.765811
101,37,71,0,44,2.32462
102,37,71,3,28,1.9191
103,37,75,1,14,0.54069
104,37,63,3,28,0.75304
105,37,63,0,44,1.1114
106,37,63,3,20,0.367601
107,38,62,3,30,0.947126
108,39,54,3,30,1.30779
109,40,43,3,30,1.07191
