Layer,Energy,BeamEnergy,Particle
1,77.6675,300,ele
2,259.46,300,ele
3,792.902,300,ele
4,1239.53,300,ele
5,1980.1,300,ele
6,2386.75,300,ele
7,3089.27,300,ele
8,2696.6,300,ele
9,3145.13,300,ele
10,2149.21,300,ele
11,2122.46,300,ele
12,1640.12,300,ele
13,1594.44,300,ele
14,1199.02,300,ele
15,899.032,300,ele
16,645.307,300,ele
17,531.483,300,ele
18,319.527,300,ele
19,343.319,300,ele
20,196.174,300,ele
21,136.854,300,ele
22,110.178,300,ele
23,74.7163,300,ele
24,56.3318,300,ele
25,26.6455,300,ele
26,13.3352,300,ele
27,15.4809,300,ele
28,27.1182,300,ele
29,13.3566,300,ele
30,2.01481,300,ele
31,1.85897,300,ele
32,4.43253,300,ele
33,13.7555,300,ele
34,9.54401,300,ele
35,11.2069,300,ele
36,7.76882,300,ele
37,4.04211,300,ele
38,1.02878,300,ele
39,0,300,ele
1,19.9547,20,ele
2,52.7752,20,ele
3,101.591,20,ele
4,137.798,20,ele
5,234.913,20,ele
6,188.128,20,ele
7,193.042,20,ele
8,174.086,20,ele
9,215.695,20,ele
10,188.063,20,ele
11,137.11,20,ele
12,55.7534,20,ele
13,68.7738,20,ele
14,41.4186,20,ele
15,35.334,20,ele
16,33.9602,20,ele
17,4.18835,20,ele
18,7.25074,20,ele
19,20.5573,20,ele
20,8.50507,20,ele
21,5.18986,20,ele
22,4.65885,20,ele
23,0,20,ele
24,0,20,ele
25,1.44903,20,ele
26,0.747552,20,ele
27,4.47648,20,ele
28,2.53268,20,ele
29,1.77654,20,ele
30,4.9243,20,ele
31,2.42598,20,ele
32,4.98689,20,ele
33,8.12787,20,ele
34,3.0692,20,ele
35,10.7631,20,ele
36,6.70454,20,ele
37,7.69117,20,ele
38,1.09324,20,ele
39,0,20,ele
1,3.78217,200,muon
2,8.22172,200,muon
3,5.82839,200,muon
4,5.37303,200,muon
5,23.9627,200,muon
6,11.331,200,muon
7,3.71874,200,muon
8,6.06563,200,muon
9,0.915434,200,muon
10,1.28779,200,muon
11,1.87577,200,muon
12,1.42228,200,muon
13,1.31392,200,muon
14,6.04503,200,muon
15,0.703735,200,muon
16,0.855932,200,muon
17,1.04278,200,muon
18,1.21504,200,muon
19,0.84283,200,muon
20,1.13301,200,muon
21,1.74595,200,muon
22,1.12719,200,muon
23,3.90556,200,muon
24,1.38879,200,muon
25,0,200,muon
26,0.794493,200,muon
27,3.76687,200,muon
28,2.93276,200,muon
29,2.24907,200,muon
30,1.96533,200,muon
31,1.71734,200,muon
32,1.85921,200,muon
33,11.1679,200,muon
34,5.14863,200,muon
35,13.0885,200,muon
36,13.6967,200,muon
37,18.5763,200,muon
38,0.947126,200,muon
39,1.30779,200,muon
1,10.1622,250,pion
2,0.946763,250,pion
3,1.03087,250,pion
4,1.94278,250,pion
5,1.82423,250,pion
6,0,250,pion
7,0.901514,250,pion
8,1.19632,250,pion
9,0.935954,250,pion
10,1.47158,250,pion
11,0.971201,250,pion
12,0.82311,250,pion
13,0.812945,250,pion
14,1.21079,250,pion
15,1.48417,250,pion
16,0.991649,250,pion
17,1.91677,250,pion
18,1.09089,250,pion
19,14.2785,250,pion
20,2.00963,250,pion
21,0.903196,250,pion
22,0.803568,250,pion
23,1.04378,250,pion
24,0.986082,250,pion
25,2.11638,250,pion
26,1.92011,250,pion
27,8.94249,250,pion
28,10.4828,250,pion
29,2.24796,250,pion
30,2.58456,250,pion
31,4.89099,250,pion
32,4.54593,250,pion
33,9.67211,250,pion
34,12.0184,250,pion
35,12.8776,250,pion
36,5.94929,250,pion
37,7.58923,250,pion
38,0.891551,250,pion
39,1.51583,250,pion
1,0.525361,20,pion
2,12.3632,20,pion
3,7.22779,20,pion
4,17.0184,20,pion
5,28.1419,20,pion
6,75.1161,20,pion
7,74.297,20,pion
8,108.64,20,pion
9,110.129,20,pion
10,94.4958,20,pion
11,92.3455,20,pion
12,85.6763,20,pion
13,51.8042,20,pion
14,38.5815,20,pion
15,44.5409,20,pion
16,37.0403,20,pion
17,28.7544,20,pion
18,31.6554,20,pion
19,53.8845,20,pion
20,30.3738,20,pion
21,9.33139,20,pion
22,7.40002,20,pion
23,10.6283,20,pion
24,11.2285,20,pion
25,6.5148,20,pion
26,18.7196,20,pion
27,4.51094,20,pion
28,3.25427,20,pion
29,15.9559,20,pion
30,16.8873,20,pion
31,16.3115,20,pion
32,23.3448,20,pion
33,13.4116,20,pion
34,6.1422,20,pion
35,8.96521,20,pion
36,3.33454,20,pion
37,4.52504,20,pion
38,1.08577,20,pion
39,0,20,pion
