 ,Layer,Module,Chip,Channel,Energy
0,1,78,3,22,1.55929
1,1,78,3,34,1.10521
2,1,78,0,50,7.49765
3,2,90,1,44,0.946763
4,3,89,3,34,1.03087
5,4,88,1,44,1.94278
6,5,77,0,44,0.443375
7,5,77,3,34,1.38085
8,7,84,3,34,0.901514
9,8,32,1,44,1.19632
10,9,69,3,34,0.935954
11,10,79,0,24,1.47158
12,11,76,0,24,0.971201
13,12,83,0,24,0.82311
14,13,70,0,24,0.812945
15,14,73,0,24,1.21079
16,15,86,0,24,1.48417
17,16,87,0,24,0.991649
18,17,82,0,24,1.91677
19,18,72,0,24,0.595349
20,18,72,3,18,0.495536
21,19,67,0,24,0.615921
22,19,67,0,44,13.6626
23,20,65,0,24,2.00963
24,21,35,0,24,0.903196
25,22,36,0,24,0.803568
26,23,44,0,24,1.04378
27,24,51,0,24,0.986082
28,25,142,0,24,0.99247
29,25,142,0,44,1.12391
30,26,143,0,24,0.880293
31,26,143,0,44,1.03982
32,27,145,0,24,2.70783
33,27,145,0,38,0.324336
34,27,145,2,32,0.339249
35,27,145,1,8,0.49308
36,27,145,3,62,0.222719
37,27,145,3,0,0.430491
38,27,145,3,42,0.393758
39,27,145,0,44,0.953088
40,27,145,0,28,0.389774
41,27,145,2,52,0.981925
42,27,145,0,10,0.216654
43,27,145,1,22,0.235115
44,27,145,3,48,0.0964032
45,27,145,3,10,0.605994
46,27,145,0,26,0.552067
47,28,144,0,24,9.46149
48,28,144,2,30,0.499954
49,28,144,2,8,0.521359
50,29,96,2,26,1.35475
51,29,105,1,20,0.893211
52,30,106,2,26,1.67809
53,30,113,3,28,0.906468
54,31,94,2,26,2.54369
55,31,94,2,28,0.756039
56,31,94,0,44,0.96748
57,31,94,3,28,0.623779
58,32,102,2,26,1.23848
59,32,124,0,44,1.76861
60,32,108,0,44,0.900777
61,32,108,3,28,0.638071
62,33,139,2,26,0.773225
63,33,139,0,44,0.915338
64,33,136,0,44,2.49849
65,33,136,2,20,0.431262
66,33,141,3,28,0.82196
67,33,147,0,44,0.949382
68,33,147,1,48,0.589212
69,33,147,0,18,0.435352
70,33,140,0,44,2.25789
71,34,131,2,34,1.45807
72,34,131,2,26,0.834289
73,34,134,0,44,1.02919
74,34,91,0,44,1.00791
75,34,91,1,48,0.461643
76,34,130,0,44,3.65449
77,34,130,3,28,1.17254
78,34,146,0,60,0.515472
79,34,146,0,58,0.562763
80,34,146,3,28,0.661323
81,34,146,0,32,0.66072
82,35,119,2,26,1.07448
83,35,127,1,24,0.528484
84,35,127,0,44,3.51451
85,35,128,2,40,0.456625
86,35,125,0,24,0.397265
87,35,125,0,48,0.45695
88,35,125,0,32,0.296284
89,35,125,0,44,5.30342
90,35,135,0,44,0.849622
91,36,38,3,22,0.233086
92,36,38,1,4,0.778223
93,36,38,0,16,0.376911
94,36,39,2,36,0.596458
95,36,39,1,4,0.79863
96,36,48,3,22,0.46541
97,36,48,3,28,0.976664
98,36,45,1,34,0.591791
99,36,45,2,26,1.13212
100,37,59,2,40,1.08398
101,37,71,3,32,0.581119
102,37,71,0,44,2.57525
103,37,75,0,24,0.541904
104,37,63,0,16,0.314689
105,37,63,0,36,0.370701
106,37,75,3,12,0.861291
107,37,59,2,26,1.26029
108,38,62,2,26,0.891551
109,39,54,2,26,1.51583
110,40,43,2,26,1.78196
