Layer,Energy,BeamEnergy,Particle
0,0,200,muon
1,3.78217,200,muon
2,8.22172,200,muon
3,5.82839,200,muon
4,5.37303,200,muon
5,23.9627,200,muon
6,11.331,200,muon
7,3.71874,200,muon
8,6.06563,200,muon
9,0.915434,200,muon
10,1.28779,200,muon
11,1.87577,200,muon
12,1.42228,200,muon
13,1.31392,200,muon
14,6.04503,200,muon
15,0.703735,200,muon
16,0.855932,200,muon
17,1.04278,200,muon
18,1.21504,200,muon
19,0.84283,200,muon
20,1.13301,200,muon
21,1.74595,200,muon
22,1.12719,200,muon
23,3.90556,200,muon
24,1.38879,200,muon
25,0,200,muon
26,0.794493,200,muon
27,3.76687,200,muon
28,2.93276,200,muon
29,2.24907,200,muon
30,1.96533,200,muon
31,1.71734,200,muon
32,1.85921,200,muon
33,11.1679,200,muon
34,5.14863,200,muon
35,13.0885,200,muon
36,13.6967,200,muon
37,18.5763,200,muon
38,0.947126,200,muon
39,1.30779,200,muon
